ID,Layer,Category,Audit Item,Expected Good State,Observed State,Evidence Paths,Score 0-5,Percent,Criticality,Risk,Recommended Action,Priority,Effort,Owner/Suggested Agent,Notes
AR-078,Layer 5 Project Instance,Code quality,Module boundaries,Services should hold business logic; routes orchestrate.,Boundary rule documented; route files still contain substantial orchestration.,docs/ARCHITECTURE.md; app/api/routes.py; app/web/routes.py,3,60%,MEDIUM,Route growth can hide policy/mutations.,Refactor only as scoped feature work; add route/service map.,P2,M,RUNTIME_GUARDIAN,
AR-079,Layer 5 Project Instance,Code quality,Dead code/stale code,Dead code should be identified.,Old docs/caches exist; code dead-code audit not found.,evidence/file_inventory.txt; NOT_FOUND:dead_code_report,2,40%,LOW,Maintenance drag.,Run targeted dead-code audit after foundation tasks.,P3,M,QA_REVIEWER,
AR-080,Layer 5 Project Instance,Code quality,Duplicate logic,Duplication should be controlled.,Steam background helper duplicated in api/web routes.,app/api/routes.py; app/web/routes.py,2,40%,MEDIUM,Bug fixes may miss parallel code paths.,Extract shared background job helper when touching Steam routes.,P2,S,IMPORT_GUARDIAN,
AR-081,Layer 5 Project Instance,Code quality,Hidden global state,Global state should be explicit and test-isolated.,Settings/engine created at import; tests guard env before import.,app/db/session.py; app/config.py; tests/conftest.py; docs/TESTING.md,3,60%,HIGH,Import order mistakes can bind prod DB.,Reduce global engine binding or add import-order smoke guard.,P1,M,DB_GUARDIAN,
AR-082,Layer 5 Project Instance,Code quality,Dependency direction,App should avoid circular or confusing dependencies.,web/routes imports app.main.templates; works but creates tight coupling.,app/web/routes.py; app/main.py,2,40%,MEDIUM,Future app factory/testing refactors harder.,Move templates/context into a web module.,P3,M,RUNTIME_GUARDIAN,
AR-083,Layer 5 Project Instance,Tests,Unit tests,Unit tests should cover core logic.,211 tests pass across services.,tests/*; evidence/test_results.txt,4,80%,LOW,Strong unit/service coverage for current MVP.,Keep targeted tests with each WP.,P2,S,TEST_GUARDIAN,
AR-084,Layer 5 Project Instance,Tests,Integration tests,Integration tests should cover route/service/db flow.,Web smoke and route tests exist; no browser e2e.,tests/test_web_smoke.py; tests/test_security.py; tests/test_coach_first_ui.py,3,60%,MEDIUM,UI regressions can slip.,Add lightweight Playwright/browser tests only when needed.,P2,M,UI_COACH_GUARDIAN,
AR-085,Layer 5 Project Instance,Tests,E2E tests,Critical workflows should be e2e-tested safely.,No e2e framework found.,NOT_FOUND:e2e; tests_inventory.txt,1,20%,MEDIUM,End-to-end owner flows rely on manual/runtime evidence.,Add minimal authenticated read-only e2e smoke later.,P2,M,RUNTIME_GUARDIAN,
AR-086,Layer 5 Project Instance,Tests,Contract tests,API/data contracts should be stable.,No explicit API contract suite.,app/api/routes.py; NOT_FOUND:contract tests,2,40%,MEDIUM,External/API callers can break.,Add contract tests for core GET and mutation payloads.,P2,M,TEST_GUARDIAN,
AR-087,Layer 5 Project Instance,Tests,Metric tests,Metric correctness should have golden fixtures.,Metric truth tests exist; docs note more fixture validation needed.,tests/test_metric_truth.py; tests/test_analytics.py; docs/project_management/ACCEPTANCE_MATRIX.md,3,60%,HIGH,Metric regressions affect advice quality.,Build golden metric fixture suite for accepted metrics.,P1,M,METRICS_GUARDIAN,
AR-088,Layer 5 Project Instance,Tests,AI eval tests,AI advice should have schema and semantic evals.,Schema validator tests pass; semantic evals absent.,tests/test_ai_validator.py; NOT_FOUND:evals,2,40%,HIGH,Schema-valid bad advice can pass.,Add golden AI semantic evals.,P1,M,QA_REVIEWER,
AR-089,Layer 5 Project Instance,Tests,Test data fixtures,Fixtures should be realistic and isolated.,conftest temp DB and sample rows exist; real demo fixtures limited/large.,tests/conftest.py; data/sample_matches.csv; tests/test_demo_parser.py,3,60%,MEDIUM,Demo parser confidence hard to regress-test broadly.,Add small sanitized parser payload fixtures instead of raw demos.,P2,M,IMPORT_GUARDIAN,
AR-090,Layer 5 Project Instance,Tests,CI quality gates,Tests/lint/diff should run automatically.,Local commands pass; no CI workflow found.,evidence/test_results.txt; NOT_FOUND:.github/workflows,2,40%,HIGH,Quality depends on manual execution.,"Add CI for pytest, ruff, diff/check scripts.",P1,M,TEST_GUARDIAN,
AR-091,Layer 5 Project Instance,Observability,Logs/errors/debug traces,Operational visibility should be documented.,Security logging exists; no full observability/runbook.,docs/SECURITY.md; docs/DEPLOYMENT.md; app/services/security.py,2,40%,MEDIUM,Production incidents remain manual.,Add observability runbook and log taxonomy.,P2,M,RUNTIME_GUARDIAN,
AR-092,Layer 5 Project Instance,Ops,Rollback,Rollback and restore should be defined.,Backup/restore scripts and restore guard exist.,docs/BACKUP_RESTORE.md; scripts/backup_runtime.sh; scripts/restore_runtime.sh,4,80%,MEDIUM,DR not fully automated; raw demos excluded.,Verify restore regularly and document raw demo policy.,P2,M,DB_GUARDIAN,
AR-093,Layer 5 Project Instance,Ops,Backups/snapshots,Risky work should require backup/SHA.,Rules require backup/SHA; current DB SHA recorded.,AGENTS.md; docs/BACKUP_RESTORE.md; evidence/commands_run.txt,4,80%,MEDIUM,Manual execution required.,Keep SHA in every DB-impacting WP.,P1,S,DB_GUARDIAN,
AR-094,Layer 5 Project Instance,Ops,Incident process,Incidents should have procedure and reports.,"Historical runtime incident report exists, but no full incident process.",docs/audit/BUGFIX_001_COACH_RUNTIME_FAILURE_DIAGNOSIS.md; docs/DEPLOYMENT.md,2,40%,MEDIUM,Incident response ad hoc.,Add short incident runbook.,P2,M,RUNTIME_GUARDIAN,
AR-095,Layer 5 Project Instance,Security,Secret storage,Secrets should be ignored and never printed.,.env and steam credentials ignored; audit listed only variable names.,.gitignore; evidence/commands_run.txt; docs/SECURITY.md,4,80%,HIGH,Secret files still present locally; accidental reads possible.,Add secret redaction command policy to docs/gate.,P1,S,RUNTIME_GUARDIAN,
AR-096,Layer 5 Project Instance,Security,No secrets in git,Secret files should be untracked/ignored.,.gitignore covers .env and credentials; git status shows no secret file untracked.,.gitignore; evidence/git_status.txt,4,80%,LOW,Good current state.,Keep status checks before commits.,P2,S,PM_ORCHESTRATOR,
AR-097,Layer 5 Project Instance,Security,Rate limiting,Rate limiting should exist and be tested.,In-memory rate limiter exists; docs say not public-scale.,docs/SECURITY.md; app/main.py; app/services/security.py; tests/test_security.py,3,60%,HIGH,Public exposure unsafe against distributed abuse.,Do not claim public readiness; add reverse proxy/Redis limiter later.,P1,M,RUNTIME_GUARDIAN,
AR-098,Layer 5 Project Instance,Security,Data privacy,User/demo data privacy should be bounded.,Personal-use warnings exist; raw demos retained; no full privacy model.,docs/SECURITY.md; docs/DEMO_STORAGE_TZ.md; docs/KNOWN_LIMITATIONS.md,2,40%,HIGH,Raw demos and Steam data are sensitive.,Add data privacy/retention policy before sharing/friends use.,P1,M,DB_GUARDIAN,
AR-099,Layer 6 Runtime Layer,Active task,Active task tracking,Active WP/task should be clear.,Current active WP none; this audit is explicit user task.,docs/CURRENT_STATUS.md; user prompt,4,80%,LOW,Good task boundary.,"If accepted, register follow-up tasks only with user approval.",P2,S,PM_ORCHESTRATOR,
AR-100,Layer 6 Runtime Layer,Loaded context,Loaded context record,Audit should record what was read/run.,Evidence files include inventories/status/test results; commands_run records commands.,evidence/*,4,80%,LOW,Good reproducibility for this audit.,Keep evidence file-backed for long audits.,P2,S,QA_REVIEWER,
AR-101,Layer 6 Runtime Layer,Plans,Plan discipline,Substantial tasks should have visible plan/status.,Plan was maintained during execution.,conversation plan; evidence/commands_run.txt,3,60%,LOW,Plan is not stored as structured project artifact except report.,Use report next-steps for durable state.,P3,S,PM_ORCHESTRATOR,
AR-102,Layer 6 Runtime Layer,Diffs,Diff discipline,Allowed diffs should be scoped and checkable.,Only audit folder created by this task; pre-existing WP-018A untracked untouched.,git status; evidence/git_status.txt,4,80%,LOW,Scoped diff.,Do not git add/commit without approval.,P2,S,PM_ORCHESTRATOR,
AR-103,Layer 6 Runtime Layer,Tests,Test results stored,Verification output should be stored.,"test_results.txt includes pytest, ruff, diff check and project_gate rerun.",evidence/test_results.txt,5,100%,LOW,Strong evidence.,Retain with audit.,P2,S,TEST_GUARDIAN,
AR-104,Layer 6 Runtime Layer,Review comments,Review comments,Findings should be actionable with evidence.,"Reports contain matrix, critical gaps and tasks.",08_CRITICAL_GAPS.md; 09_RECOMMENDED_TASKS.md; 10_NEXT_10_TASKS.md,4,80%,LOW,Actionable audit output.,Review with PM before implementing.,P2,S,QA_REVIEWER,
AR-105,Layer 6 Runtime Layer,Decisions,Decision capture,Audit decisions should not silently alter source-of-truth docs.,Audit creates report only; no status/registry mutation.,AGENTS.md; this audit folder,4,80%,LOW,Correct for read-only audit.,User/PM decides which tasks become WPs.,P2,S,PM_ORCHESTRATOR,
AR-106,Layer 6 Runtime Layer,Rollback points,Rollback points,Runtime mutation tasks need rollback/SHA; read-only audit should avoid mutation.,No DB/import/parser/evaluator/deploy mutation; DB SHA checked only.,evidence/commands_run.txt; sha256sum output,5,100%,LOW,Safe audit execution.,No rollback needed for source except deleting audit folder if rejected.,P3,S,DB_GUARDIAN,
